id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.25,0.11,0.17,0.15,0.03,0.16
2,0.24,0.11,0.17,0.14,0.03,0.15
3,0.24,0.11,0.17,0.15,0.02,0.16
4,0.24,0.11,0.18,0.15,0.03,0.16
5,0.24,0.12,0.18,0.15,0.02,0.16
6,0.23,0.11,0.18,0.15,0.02,0.16
7,0.23,0.11,0.17,0.15,0.02,0.16
8,0.24,0.11,0.18,0.15,0.03,0.16
9,0.24,0.12,0.18,0.14,0.03,0.16
10,0.24,0.12,0.18,0.15,0.03,0.16
11,0.24,0.11,0.17,0.15,0.03,0.16
12,0.24,0.12,0.17,0.15,0.03,0.16
13,0.24,0.12,0.17,0.14,0.03,0.16
14,0.24,0.11,0.17,0.15,0.03,0.16
15,0.24,0.13,0.18,0.15,0.03,0.16
16,0.24,0.12,0.18,0.14,0.03,0.16
17,0.23,0.11,0.17,0.15,0.03,0.16
18,0.24,0.12,0.18,0.14,0.02,0.17
19,0.24,0.12,0.17,0.14,0.03,0.16
20,0.24,0.12,0.18,0.15,0.02,0.16
21,0.24,0.11,0.17,0.15,0.02,0.16
22,0.25,0.11,0.17,0.15,0.02,0.16
23,0.24,0.11,0.18,0.15,0.03,0.16
24,0.24,0.11,0.17,0.15,0.03,0.16
25,0.24,0.12,0.16,0.15,0.02,0.16
26,0.24,0.12,0.17,0.15,0.02,0.16
27,0.24,0.12,0.17,0.15,0.02,0.16
28,0.24,0.12,0.17,0.15,0.03,0.16
29,0.23,0.12,0.17,0.15,0.02,0.16
30,0.24,0.11,0.17,0.15,0.02,0.16
31,0.24,0.11,0.18,0.15,0.02,0.16
32,0.24,0.12,0.18,0.14,0.03,0.16
33,0.24,0.12,0.18,0.15,0.02,0.16
34,0.24,0.11,0.17,0.14,0.02,0.16
35,0.24,0.12,0.16,0.14,0.03,0.16
36,0.24,0.12,0.18,0.14,0.03,0.17
37,0.24,0.11,0.18,0.15,0.02,0.16
38,0.24,0.12,0.17,0.15,0.03,0.16
39,0.24,0.12,0.18,0.15,0.03,0.17
40,0.24,0.12,0.18,0.14,0.02,0.16
41,0.24,0.12,0.17,0.15,0.03,0.16
42,0.25,0.12,0.17,0.15,0.02,0.15
43,0.24,0.11,0.17,0.15,0.03,0.15
44,0.24,0.12,0.17,0.15,0.03,0.16
45,0.24,0.11,0.18,0.15,0.02,0.16
46,0.24,0.12,0.18,0.15,0.03,0.16
47,0.24,0.11,0.18,0.15,0.03,0.16
48,0.24,0.11,0.17,0.15,0.02,0.16
49,0.24,0.12,0.17,0.14,0.02,0.16
50,0.24,0.12,0.17,0.15,0.02,0.16
51,0.24,0.11,0.17,0.15,0.03,0.16
52,0.24,0.12,0.18,0.14,0.02,0.15
53,0.25,0.12,0.17,0.15,0.02,0.16
54,0.24,0.11,0.17,0.15,0.03,0.16
55,0.24,0.12,0.17,0.15,0.02,0.16
56,0.23,0.11,0.18,0.15,0.03,0.16
57,0.24,0.11,0.17,0.15,0.02,0.16
58,0.24,0.11,0.17,0.15,0.02,0.16
59,0.24,0.12,0.19,0.15,0.02,0.16
60,0.24,0.12,0.17,0.15,0.02,0.17
61,0.24,0.12,0.17,0.15,0.03,0.16
62,0.24,0.12,0.17,0.15,0.03,0.16
63,0.24,0.12,0.18,0.15,0.02,0.16
64,0.24,0.12,0.17,0.15,0.02,0.17
65,0.24,0.12,0.17,0.15,0.03,0.16
66,0.24,0.12,0.17,0.15,0.02,0.16
67,0.24,0.11,0.17,0.15,0.03,0.16
68,0.24,0.12,0.17,0.15,0.02,0.16
69,0.24,0.11,0.17,0.15,0.03,0.16
70,0.24,0.11,0.18,0.14,0.03,0.16
71,0.24,0.12,0.17,0.15,0.02,0.16
72,0.25,0.11,0.17,0.15,0.03,0.16
73,0.24,0.12,0.18,0.15,0.02,0.16
74,0.24,0.12,0.17,0.15,0.02,0.16
75,0.24,0.12,0.17,0.15,0.03,0.16
76,0.24,0.12,0.18,0.15,0.02,0.16
77,0.24,0.12,0.17,0.15,0.02,0.16
78,0.24,0.11,0.17,0.14,0.02,0.16
79,0.24,0.12,0.17,0.15,0.03,0.16
80,0.24,0.12,0.17,0.14,0.02,0.17
81,0.24,0.12,0.18,0.14,0.02,0.16
82,0.24,0.11,0.18,0.15,0.03,0.16
83,0.23,0.12,0.18,0.15,0.03,0.16
84,0.23,0.12,0.17,0.15,0.02,0.16
85,0.24,0.11,0.16,0.14,0.02,0.16
86,0.24,0.12,0.18,0.15,0.02,0.17
87,0.24,0.11,0.18,0.15,0.02,0.15
88,0.24,0.12,0.17,0.15,0.02,0.16
89,0.24,0.11,0.18,0.15,0.02,0.15
90,0.24,0.12,0.17,0.16,0.02,0.17
91,0.24,0.11,0.18,0.15,0.03,0.16
92,0.24,0.12,0.17,0.15,0.02,0.16
93,0.24,0.12,0.18,0.15,0.02,0.16
94,0.24,0.11,0.17,0.15,0.03,0.16
95,0.24,0.12,0.18,0.16,0.03,0.16
96,0.25,0.12,0.17,0.14,0.02,0.16
97,0.24,0.11,0.18,0.15,0.02,0.16
98,0.25,0.13,0.17,0.15,0.03,0.15
99,0.24,0.11,0.17,0.14,0.03,0.16
100,0.24,0.11,0.17,0.15,0.02,0.16
101,0.24,0.11,0.17,0.15,0.01,0.16
102,0.24,0.11,0.17,0.15,0.03,0.16
103,0.25,0.11,0.17,0.15,0.03,0.16
104,0.24,0.12,0.17,0.15,0.02,0.16
105,0.24,0.11,0.17,0.16,0.02,0.16
106,0.24,0.12,0.17,0.15,0.03,0.16
107,0.24,0.11,0.17,0.15,0.02,0.16
108,0.24,0.11,0.17,0.14,0.02,0.16
109,0.24,0.12,0.18,0.15,0.03,0.16
110,0.24,0.12,0.17,0.15,0.03,0.16
111,0.24,0.11,0.17,0.14,0.03,0.16
112,0.24,0.11,0.17,0.14,0.03,0.15
113,0.24,0.12,0.18,0.15,0.02,0.16
114,0.24,0.12,0.17,0.15,0.02,0.16
115,0.24,0.11,0.17,0.15,0.02,0.16
116,0.24,0.11,0.17,0.15,0.03,0.16
117,0.24,0.12,0.17,0.15,0.03,0.16
118,0.24,0.12,0.17,0.15,0.03,0.16
